Model	Stok Tanımı	Stok Kodu	Barkod
BRB5SG-TST6025	BRB5SG-TST6025 Barbie Atlet, 9-10 Yaş, Pembe	5003221842004	8684024476786
BRB5SG-TST6025	BRB5SG-TST6025 Barbie Atlet, 11-12 Yaş, Pembe	5003221842005	8684024476793
BRB5SG-TST6420	BRB5SG-TST6420 Barbie T-Shirt, 3-4 Yaş, Ekru	5003221843001	8684024477004
BRB5SG-TST6420	BRB5SG-TST6420 Barbie T-Shirt, 5-6 Yaş, Ekru	5003221843002	8684024477011
BRB5SG-TST6420	BRB5SG-TST6420 Barbie T-Shirt, 7-8 Yaş, Ekru	5003221843003	8684024477028
BRB5SG-TST6420	BRB5SG-TST6420 Barbie T-Shirt, 9-10 Yaş, Ekru	5003221843004	8684024477035
BRB5SG-TST6420	BRB5SG-TST6420 Barbie T-Shirt, 11-12 Yaş, Ekru	5003221843005	8684024477042
BRB5SG-TST6010	BRB5SG-TST6010 Barbie T-Shirt, 3-4 Yaş, Fuşya	5003224359001	8684024545802
BRB5SG-TST6010	BRB5SG-TST6010 Barbie T-Shirt, 5-6 Yaş, Fuşya	5003224359002	8684024545819
BRB5SG-TST6010	BRB5SG-TST6010 Barbie T-Shirt, 7-8 Yaş, Fuşya	5003224359003	8684024545826
BRB5SG-TST6010	BRB5SG-TST6010 Barbie T-Shirt, 9-10 Yaş, Fuşya	5003224359004	8684024545833
BRB5SG-TST6010	BRB5SG-TST6010 Barbie T-Shirt, 11-12 Yaş, Fuşya	5003224359005	8684024545840
3J68C501B 108	3J68C501B 108 Benetton Sweatshirt, 13-14 Yaş, Yeşil	5002945249003	8033153988675
